date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-08-18,1629279000000,XAU,LBMA,USD,1788.1,1794.05,-5.95,-0.3328
2021-08-19,1629365400000,XAU,LBMA,USD,1788.2,1788.1,0.1,0.0056
2021-08-20,1629451800000,XAU,LBMA,USD,1782.95,1788.2,-5.25,-0.2945
2021-08-21,1629538200000,XAU,LBMA,USD,1782.95,1782.95,0.0,0.0
2021-08-22,1629624600000,XAU,LBMA,USD,1782.95,1782.95,0.0,0.0
2021-08-23,1629711000000,XAU,LBMA,USD,1786.9,1782.95,3.95,0.2211
2021-08-24,1629797400000,XAU,LBMA,USD,1802.95,1786.9,16.05,0.8902
2021-08-25,1629883800000,XAU,LBMA,USD,1794.7,1802.95,-8.25,-0.4597
2021-08-26,1629970200000,XAU,LBMA,USD,1783.8,1794.7,-10.9,-0.6111
2021-08-27,1630056600000,XAU,LBMA,USD,1795.5,1783.8,11.7,0.6516
2021-08-28,1630143000000,XAU,LBMA,USD,1795.5,1795.5,0.0,0.0
2021-08-29,1630229400000,XAU,LBMA,USD,1795.5,1795.5,0.0,0.0
2021-08-30,1630315800000,XAU,LBMA,USD,1795.5,1795.5,0.0,0.0
2021-08-31,1630402200000,XAU,LBMA,USD,1814.3,1795.5,18.8,1.0362
2021-09-01,1630488600000,XAU,LBMA,USD,1813.9,1814.3,-0.4,-0.0221
2021-09-02,1630575000000,XAU,LBMA,USD,1815.15,1813.9,1.25,0.0689
2021-09-03,1630661400000,XAU,LBMA,USD,1812.05,1815.15,-3.1,-0.1711
2021-09-04,1630747800000,XAU,LBMA,USD,1812.05,1812.05,0.0,0.0
2021-09-05,1630834200000,XAU,LBMA,USD,1812.05,1812.05,0.0,0.0
2021-09-06,1630920600000,XAU,LBMA,USD,1823.85,1812.05,11.8,0.647
2021-09-07,1631007000000,XAU,LBMA,USD,1810.75,1823.85,-13.1,-0.7235
2021-09-08,1631093400000,XAU,LBMA,USD,1797.95,1810.75,-12.8,-0.7119
2021-09-09,1631179800000,XAU,LBMA,USD,1795.35,1797.95,-2.6,-0.1448
2021-09-10,1631266200000,XAU,LBMA,USD,1799.9,1795.35,4.55,0.2528
2021-09-11,1631352600000,XAU,LBMA,USD,1799.9,1799.9,0.0,0.0
2021-09-12,1631439000000,XAU,LBMA,USD,1799.9,1799.9,0.0,0.0
2021-09-13,1631525400000,XAU,LBMA,USD,1787.85,1799.9,-12.05,-0.674
2021-09-14,1631611800000,XAU,LBMA,USD,1788.65,1787.85,0.8,0.0447
2021-09-15,1631698200000,XAU,LBMA,USD,1801.4,1788.65,12.75,0.7078
2021-09-16,1631784600000,XAU,LBMA,USD,1781.45,1801.4,-19.95,-1.1199
2021-09-17,1631871000000,XAU,LBMA,USD,1766.1,1781.45,-15.35,-0.8691
2021-09-18,1631957400000,XAU,LBMA,USD,1766.1,1766.1,0.0,0.0
2021-09-19,1632043800000,XAU,LBMA,USD,1766.1,1766.1,0.0,0.0
2021-09-20,1632130200000,XAU,LBMA,USD,1757.15,1766.1,-8.95,-0.5093
2021-09-21,1632216600000,XAU,LBMA,USD,1766.45,1757.15,9.3,0.5265
2021-09-22,1632303000000,XAU,LBMA,USD,1775.35,1766.45,8.9,0.5013
2021-09-23,1632389400000,XAU,LBMA,USD,1771.05,1775.35,-4.3,-0.2428
2021-09-24,1632475800000,XAU,LBMA,USD,1755.15,1771.05,-15.9,-0.9059
2021-09-25,1632562200000,XAU,LBMA,USD,1755.15,1755.15,0.0,0.0
2021-09-26,1632648600000,XAU,LBMA,USD,1755.15,1755.15,0.0,0.0
2021-09-27,1632735000000,XAU,LBMA,USD,1749.15,1755.15,-6.0,-0.343
2021-09-28,1632821400000,XAU,LBMA,USD,1739.65,1749.15,-9.5,-0.5461
2021-09-29,1632907800000,XAU,LBMA,USD,1741.65,1739.65,2.0,0.1148
2021-09-30,1632994200000,XAU,LBMA,USD,1741.65,1741.65,0.0,0.0
2021-10-01,1633080600000,XAU,LBMA,USD,1741.65,1741.65,0.0,0.0
2021-10-02,1633167000000,XAU,LBMA,USD,1741.65,1741.65,0.0,0.0
2021-10-03,1633253400000,XAU,LBMA,USD,1741.65,1741.65,0.0,0.0
2021-10-04,1633339800000,XAU,LBMA,USD,1741.65,1741.65,0.0,0.0
2021-10-05,1633426200000,XAU,LBMA,USD,1741.65,1741.65,0.0,0.0
2021-10-06,1633512600000,XAU,LBMA,USD,1741.65,1741.65,0.0,0.0
2021-10-07,1633599000000,XAU,LBMA,USD,1758.55,1741.65,16.9,0.961
2021-10-08,1633685400000,XAU,LBMA,USD,1757.5,1758.55,-1.05,-0.0597
2021-10-09,1633771800000,XAU,LBMA,USD,1757.5,1757.5,0.0,0.0
2021-10-10,1633858200000,XAU,LBMA,USD,1757.5,1757.5,0.0,0.0
2021-10-11,1633944600000,XAU,LBMA,USD,1752.55,1757.5,-4.95,-0.2824
2021-10-12,1634031000000,XAU,LBMA,USD,1759.1,1752.55,6.55,0.3723
2021-10-13,1634117400000,XAU,LBMA,USD,1767.45,1759.1,8.35,0.4724
2021-10-14,1634203800000,XAU,LBMA,USD,1797.15,1767.45,29.7,1.6526
2021-10-15,1634290200000,XAU,LBMA,USD,1781.45,1797.15,-15.7,-0.8813
2021-10-16,1634376600000,XAU,LBMA,USD,1781.45,1781.45,0.0,0.0
2021-10-17,1634463000000,XAU,LBMA,USD,1781.45,1781.45,0.0,0.0
2021-10-18,1634549400000,XAU,LBMA,USD,1762.45,1781.45,-19.0,-1.078
2021-10-19,1634635800000,XAU,LBMA,USD,1779.4,1762.45,16.95,0.9526
2021-10-20,1634722200000,XAU,LBMA,USD,1778.15,1779.4,-1.25,-0.0703
2021-10-21,1634808600000,XAU,LBMA,USD,1785.3,1778.15,7.15,0.4005
2021-10-22,1634895000000,XAU,LBMA,USD,1792.3,1785.3,7.0,0.3906
2021-10-23,1634981400000,XAU,LBMA,USD,1792.3,1792.3,0.0,0.0
2021-10-24,1635067800000,XAU,LBMA,USD,1792.3,1792.3,0.0,0.0
2021-10-25,1635154200000,XAU,LBMA,USD,1799.2,1792.3,6.9,0.3835
2021-10-26,1635240600000,XAU,LBMA,USD,1801.9,1799.2,2.7,0.1498
2021-10-27,1635327000000,XAU,LBMA,USD,1783.85,1801.9,-18.05,-1.0119
2021-10-28,1635413400000,XAU,LBMA,USD,1798.2,1783.85,14.35,0.7979999999999999
2021-10-29,1635499800000,XAU,LBMA,USD,1796.3,1798.2,-1.9,-0.1058
2021-10-30,1635586200000,XAU,LBMA,USD,1796.3,1796.3,0.0,0.0
2021-10-31,1635676200000,XAU,LBMA,USD,1796.3,1796.3,0.0,0.0
2021-11-01,1635762600000,XAU,LBMA,USD,1786.55,1796.3,-9.75,-0.5457
2021-11-02,1635849000000,XAU,LBMA,USD,1791.5,1786.55,4.95,0.2763
2021-11-03,1635935400000,XAU,LBMA,USD,1781.85,1791.5,-9.65,-0.5416
